data_class,Project ID,Monitoring Location ID,Monitoring Location Name,AU,Activity ID,Activity Type,Activity Media Name,Activity Media Subdivision,Activity Start Date,Activity Start Time,Activity Start Time Zone,Activity Depth/Height Measure,Activity Depth/Height Unit,Sample Collection Method ID,Sample Collection Equipment Name,Sample Collection Equipment Comment,Characteristic Name,Method Speciation,Result Detection Condition,Result Value,Result Unit,Result Measure Qualifier,Result Sample Fraction,Result Status ID,Statistical Base Code,Result Value Type,Result Analytical Method ID,Result Analytical Method Context,Analysis Start Date,Result Detection/Quantitation Limit Type,Result Detection/Quantitation Limit Measure,Result Detection/Quantitation Limit Unit,Result Comment,Activity Comment,WQP Result ID
external,lp5,lp5-TCC-1,South Fork Cottonwood Creek,ID17060305CL008_03,lp5-TCC-1-2/9/2006-16:00-FM,Field Msr/Obs,Water,Surface Water,2/9/2006,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,463,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-1,South Fork Cottonwood Creek,ID17060305CL008_03,lp5-TCC-1-3/16/2006-13:30-FM,Field Msr/Obs,Water,Surface Water,3/16/2006,30:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,398,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-2,Long Haul Creek,ID17060305CL009_02,lp5-TCC-2-2/2/2005-15:00-FM,Field Msr/Obs,Water,Surface Water,2/2/2005,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,344,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-2,Long Haul Creek,ID17060305CL009_02,lp5-TCC-2-2/15/2005-14:00-FM,Field Msr/Obs,Water,Surface Water,2/15/2005,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,268,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-2,Long Haul Creek,ID17060305CL009_02,lp5-TCC-2-3/3/2005-12:30-FM,Field Msr/Obs,Water,Surface Water,3/3/2005,30:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,300,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-2,Long Haul Creek,ID17060305CL009_02,lp5-TCC-2-3/16/2005-12:30-FM,Field Msr/Obs,Water,Surface Water,3/16/2005,30:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,337,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-2,Long Haul Creek,ID17060305CL009_02,lp5-TCC-2-3/30/2005-16:00-FM,Field Msr/Obs,Water,Surface Water,3/30/2005,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,212,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-2,Long Haul Creek,ID17060305CL009_02,lp5-TCC-2-4/12/2005-16:00-FM,Field Msr/Obs,Water,Surface Water,4/12/2005,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,220,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-2,Long Haul Creek,ID17060305CL009_02,lp5-TCC-2-4/27/2005-14:00-FM,Field Msr/Obs,Water,Surface Water,4/27/2005,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,215,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-2,Long Haul Creek,ID17060305CL009_02,lp5-TCC-2-5/12/2005-13:00-FM,Field Msr/Obs,Water,Surface Water,5/12/2005,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,190.5,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-2,Long Haul Creek,ID17060305CL009_02,lp5-TCC-2-5/25/2005-16:00-FM,Field Msr/Obs,Water,Surface Water,5/25/2005,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,193,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-2,Long Haul Creek,ID17060305CL009_02,lp5-TCC-2-6/23/2005-16:00-FM,Field Msr/Obs,Water,Surface Water,6/23/2005,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,422,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-2,Long Haul Creek,ID17060305CL009_02,lp5-TCC-2-7/6/2005-16:30-FM,Field Msr/Obs,Water,Surface Water,7/6/2005,30:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,397,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-2,Long Haul Creek,ID17060305CL009_02,lp5-TCC-2-7/21/2005-14:00-FM,Field Msr/Obs,Water,Surface Water,7/21/2005,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,316,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-2,Long Haul Creek,ID17060305CL009_02,lp5-TCC-2-8/10/2005-12:00-FM,Field Msr/Obs,Water,Surface Water,8/10/2005,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,377,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-2,Long Haul Creek,ID17060305CL009_02,lp5-TCC-2-8/23/2005-14:00-FM,Field Msr/Obs,Water,Surface Water,8/23/2005,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,344,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-2,Long Haul Creek,ID17060305CL009_02,lp5-TCC-2-9/13/2005-14:00-FM,Field Msr/Obs,Water,Surface Water,9/13/2005,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,398,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-2,Long Haul Creek,ID17060305CL009_02,lp5-TCC-2-9/28/2005-14:00-FM,Field Msr/Obs,Water,Surface Water,9/28/2005,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,384,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-2,Long Haul Creek,ID17060305CL009_02,lp5-TCC-2-10/18/2005-13:00-FM,Field Msr/Obs,Water,Surface Water,10/18/2005,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,419,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-2,Long Haul Creek,ID17060305CL009_02,lp5-TCC-2-11/3/2005-13:00-FM,Field Msr/Obs,Water,Surface Water,11/3/2005,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,370,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-2,Long Haul Creek,ID17060305CL009_02,lp5-TCC-2-1/5/2006-14:30-FM,Field Msr/Obs,Water,Surface Water,1/5/2006,30:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,304,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-2,Long Haul Creek,ID17060305CL009_02,lp5-TCC-2-1/19/2006-14:30-FM,Field Msr/Obs,Water,Surface Water,1/19/2006,30:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,271,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-2,Long Haul Creek,ID17060305CL009_02,lp5-TCC-2-2/9/2006-13:30-FM,Field Msr/Obs,Water,Surface Water,2/9/2006,30:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,267,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
